Record,Name of Operation,Expiration Date,Agent,Carrier
1734,24 Hour Fitness Fort Worth,1/1/2021,Everest National Insurance Company,Lockton Companies
1735,24 Hour Fitness Mesquite,1/1/2021,Everest National Insurance Company,Lockton Companies
1736,24 Hour Fitness Murphy,1/1/2021,Everest National Insurance Company,Lockton Companies
1733,24 Hour Fitness Pflugerville,1/1/2021,Everest National Insurance Company,Lockton Companies
1800,24 Hour Fitness Richmond,1/1/2021,Everest National Insurance Company,Lockton Companies
3298,4G Party Rentals,2/22/2021,Nationwide Mutual Ins Co,Cossio Insurance Agency
1948,"5 S Rental & Sales, LLC",4/20/2021,Hartford Fire Insurance Company,"Higginbotham Insurance Agency, Inc."
2940,"501 RAILROAD, LLC",10/17/2020,The Cincinnati Specialty Underwriters Insurance Co,Watkins Insurance Group-Austin
2618,512 Bounce,3/15/2021,Nationwide mutual ins co,Cossio
3498,989 WC Mansfield Investment LLC DBA Urban Air Mans,5/27/2021,HDI Global Specialty SE,"Hotchkiss Insurance Agency, LLC"
2611,"A & M Party Rental, LLC",8/17/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1237,A Plus Party Rentals & Inflatables LLC,6/1/2021,AXIS Insurance Company,"ARA Insurance Services, Inc."
3205,"A to Z Rentals 78 Inc
A to Z Rentals 87 Inc",9/4/2020,AXIS Insurance Company,"ARA Insurance Services, Inc."
3205,A to Z Rentals 78 Inc.,9/4/2020,AXIS Insurance Company,"ARA Insurance Services, Inc."
3206,A to Z Rentals 87 Inc,9/4/2020,AXIS Insurance Company,"ARA Insurance Services, Inc."
3043,"A&P inflatables, LLC",3/14/2021,NATIONWIDE MUTUAL INS CO,Cossio Insurance Agency
1957,A-1 Party & Tent Rental Hanyka Inc,8/4/2020,AXIS Insurance Company,"ARA Insurance Services, Inc."
2459,"AAMMR, LLC dba Magic Moonwalk Rental",11/8/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
933,ABC - Discount Rental LLC,10/11/2020,Cincinnati Specialty Underwriters Insurance Company,Friedman Insurance Inc
1520,Abe Lucas - HALK Amusements,11/19/2020,Everest National Insurance Company,"Johnson, Kendall & Johnson, Inc."
357,"Abilene Profit Center, Inc., DBA Mr. Gatti's",2/21/2021,Acceptance Indemnity,Davis-Dyer-Max Insurance
2514,ABILENE ZOOLOGICAL SOCIETY,6/1/2021,NATIONAL CASUALTY COMPANY,"K&K INSURANCE GROUP, INC."
2428,Action Rental dba Jjelcor Inc,11/24/2020,ARCH INS CO,Edgewood Partners Insurance Center (EPIC)
2519,Adam Schrum dba Schrum Entertainment,4/20/2021,ACE American Insurance Company,Haas & Wilkerson Insurance
3722,Adrenaline Inflatables,5/23/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
367,Adventure Landing LLC Adventure Holdings LLC,6/4/2021,THE Insurance Company,Harden
227,Adventure Park Lubbock,3/11/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
546,"Adventure World, LLC",12/24/2020,T.H.E. Insurance Company,"Insurance Office of America, Inc."
564,"Adventure World, LLC",12/24/2020,T.H.E. Insurance Company,"Insurance Office of America, Inc."
553,Adventure Zone LTD,12/29/2020,HCC Specialty Insurance Co,Northeast Insurance Center
660,Affordable Moonwalks Etc. LLC,8/22/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3483,"AIKG LLC
dba Andretti Indoor Karting & Games",6/1/2021,Cincinnati Specialty Underwriters InsCo,McGriff Insurance Services
1667,Air Castles LLC,3/3/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1336,Air Jump Incorporated,9/25/2020,Admiral Insurance Company,Kaliff Insurance
3257,"AKV FUN, LLC",1/15/2021,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc."
50,"Alamo Amusements, Inc.",4/22/2021,T.H.E. Insurance Company,"McGowan Allied Specialty
Insurance"
9,Alamo Attractions Inc,1/15/2021,ACE American Insurance Company,Haas & Wilkerson Insurance
690,Alario Knowles LLC dba Cedar Rock Railroad,1/20/2021,Cincinnati Specialty Underwriters Insurance Compan,"Friedman Insurance, Inc."
3317,Alejandro Flores dba Las Vegas Party Rentals,10/24/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1606,All American Party and Tent Rentals Inc,6/17/2021,AXIS Insurance Company,ARA Insurance Services
3283,All Around Entertainment LLC dba All Around Bounce,5/30/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3692,"All In One Events and Tents, LLC",11/30/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2854,"All Puffed Up Bounce Houses TX, LLC",8/29/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1512,All Summer Long,9/12/2020,Certain Underwriters at Lloyd's of London (Beazley lead),"Zodiac Insurance Services, LLC."
1918,Alliance Party Rentals,2/25/2021,Nationwide Mutual Insurance,Cossio Insurance Agency
3725,All-Star Martial Arts & Fitness Inc & David Lieder,9/1/2020,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
2642,"Altamesa Church of Christ, Inc",8/7/2020,American Alternative Glatfelter Underwriting,American Southern home Ins. Co.
3484,Altitude Trampoline Parks & Altitude H2O,6/17/2021,HDI Global Specialty SE,Marsh & McLennan Agency LLC
1675,"Amanzi Party Rentals, LLC.",10/15/2020,Scottsdale Insurance Company,Olivier-VanDyk Insurance Agency
3608,Amazing Moonwalks Inc dba Texas Moonwalks,2/8/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1832,American Party Rental - Dupy Holding Co,12/18/2020,AXIS Insurance Company,ARA insurance Services
102,AMI Adrenaline Adventures Inc dba Zero gravity,11/14/2020,T.H.E. Insurance Company,Kaliff Insurance
102,AMI Adventure Attractions Inc or Amusement Management,11/14/2020,T.H.E. Insurance Company,Kaliff Insurance
3650,Anahi Martinez dba Jumps & Tents For Events,10/31/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
545,"Andrasko, Inc. dba U.S. Golf & Games",10/31/2020,Everest National Ins. Company,"McGowan & Company, Inc."
2209,Ankh Group LLC dba Blue Sky Moonwalks,10/3/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
542,Aquarium of Houston dba Feritta Entertainment,7/24/2021,Endurance American Specialty,"Naughton Insurance, Inc."
2137,Araceli Chavez DBA Aiden's Party Rentals,3/25/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3007,ARM Epic LLC dba Epic Waters,10/1/2020,Everest National Insurance Company,Haas & Hilkerson Insurance
507,"ARMCO, Inc.",5/1/2021,Everest National Insurance Company,"Johnson, Kendall & Johnson, Inc."
2230,"Art-Vic, Inc. DBA Jump It Up Party Hall",9/27/2020,Mesa Underwriters Specialty Insurance Company,"Liberty United Insurance Services, Inc."
2982,A-Team Rentals,5/1/2021,Burlington Insurance Company,"INSURICA DFB Insurance Services, LLC"
1748,At-Once Party Rentals,9/15/2020,AXIS Insurance Company,ARA Insurance Service Inc
2944,Austin Baptist Church,9/5/2020,Massachusetts Bay Insurance Company,Texas Associates Insurors
2794,Austin Bounce House Rentals,10/28/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
618,Austin's FEC LLC Austin's Park & Pizza,5/1/2021,Arch Insurance Co.,American Specialty Ins & Risk
1010,"B & KS Enterprises, LLC DBA: dba The Jumpy Place Kyle",12/4/2020,Atain Specialty Insurance Co.,Southwest Commercial Insurance Agency LLC
1380,"B & KS Enterprises, LLC DBA: dba The Jumpy Place New Braunfels",12/4/2020,Atain Specialty Insurance Co.,Southwest Commercial Insurance Agency LLC
2552,"B & KS Enterprises, LLC DBA: dba The Jumpy Place San Antonio",12/4/2020,Atain Specialty Insurance Co.,Southwest Commercial Insurance Agency LLC
3028,B&L Fields Enterprises LLC dba Cowboy Party Rental,2/16/2021,Cincinnati Specialty Underwriters Ins Company,Olivier-VanDyk Insurance Agency
153,"B.B.G.M. Inc. dba Putt Putt Golf & Games of Hurst
Rock N Bowl Arlington LLC dba Alley Cats",6/3/2021,Arch Insurance Company,"Higginbotham Insurance Agency, Inc."
3654,Balaxi FEC Lewisville LLC.,11/8/2020,New York Marine & General Ins,"Hanasab Insurance Services, Inc."
3490,"Bark Entertainment, LLC dba: Urban Air New Braunfels",4/7/2021,HDI Global Insurance Company,"Hotchkiss Insurance Agency, LLC"
3649,"Barton Hill Farms, LLC",9/1/2020,Mesa Underwriters,"Donat Insurance Services, LLC"
757,Bass Pro Group LLC San Antonio,8/1/2020,Scottsdale Insurance Company,Marsh USA Inc.
2220,"Bass Pro Group, LLC",8/1/2020,Scottsdale Insurance Company,"Marsh USA, Inc."
153,BBGM Inc,6/3/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc"
32,BBGM Inc DBA Alley Cats Hurst,6/3/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc"
1642,"Be An Angel Fund, Inc",10/1/2020,Nove Casualty Company,Higinbotham Insurance Agency Inc
521,Beach Park at Isla Blanca-Enterprize Management Inc,4/23/2021,Everest National Insurance Company,"SWBC Insurance Services, Inc."
3519,Beast Mode Inflatables LLC,11/20/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3493,Beaumont Adventure Park LLC dba Urban Air Beaumont,11/28/2020,Golden Bear Insurance Company,Hotchkiss Insurance Agency LLC
1532,Becky's Land Development LLC,12/1/2020,National Casualty Co.,K&K Insurance Group Inc
1628,"BellBunch, LLC dba Jump for Joy, Party Play Center",10/10/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2470,"Bell's Bounce Houses, LLC",9/25/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3466,"Bell-Thoms Group, Inc. dba: Urban Air Killeen",8/13/2020,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
470,"Bieke Corporation DBA Whirlyball/LaserWhirld,
Swanstadt Inc dba Whirlyball & Laser of HEB",5/25/2021,Philadelphia Indemnity Insurance Company,CORE Insurance Group
3735,Big and Bright Rentals LLC,7/15/2021,Cincinnati Specialty Underwriters Insurance Company,"Friedman Insurance, Inc."
3348,Big Hockey Productions LLC dba Maxxair Trampoline and Obstancle Park,2/26/2021,Golden Bear,"Risk Management, LLC"
3238,"Big Texan Party Rentals, LLC",9/23/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1595,"Bigbee's Bounce A Lot, Stoy Investments LLC",1/5/2021,Nationwide Mutual Insurance Co.,Cossio Insurance Agency
3187,"Billy Bob's Zipline, LLC",7/14/2021,National Cas Co,Hibbs - Hallmark & Co
1620,"Binksco, Inc. dba All Needz Rental",9/19/2020,Lloyd's-Beazley Group Syndicate #2623,Amusement And Event Planners Insurance Specialists
2302,Bizzle Enterprises LLC dba Bouncin Bobcat Entertainment dba Bouncin,12/22/2020,Nationwide Insurance Company,Cossio Insurance Agency
3701,"BLASTACARS, INC.",2/1/2021,MESA UNDERWRITERS SPECIALTY INS CO,FRED RHODES & CO.
2108,Blazing Bouncers LLC,5/29/2021,Evanston Insurance Company,GARY HATCHETI INSURANCE
1230,Block House MUD,10/1/2020,TMLIRP,TMLIRP
2474,Boogie Woogie Choo Choo,11/29/2020,UNITED STATES T'IRE INS COMPANY,RAL INSURANCE SERVICE
1276,Bounce  Around Austin,9/24/2020,AXIS Insurance Company,"ARA Insurance Services, Inc."
1276,Bounce Around Austin,9/24/2020,AXIS Insurance Company,"ARA Insurance Services, Inc."
3110,Bounce Around Central Texas,6/20/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3452,Bounce Away,6/26/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3728,Bounce Boss LLC,3/15/2021,Cincinnati Specialty Underwriters Insurance Company,"Friedman Insurance, Inc"
3707,Bounce Counts Party Rentals LLC,3/10/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
844,Bounce For Fun,12/6/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3708,Bounce House and Slide Rentals LLC,2/28/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2397,Bounce House Heavy's,8/15/2020,Nationwide Mutual Co,Cossio Insurance Agency
3656,"Bounce That, LLC dba BounceThat",10/10/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3732,Bounce Town Moonwalks,3/18/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3727,Bourque Inc dba Wild'n Out Party Rentals,5/12/2021,Mesa Underwriters Specialty Ins Co,Liberty United Insurance Srvcs
3727,"Bourque, Inc dba Wild'N Out Party Rentals",6/26/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
861,"Broetsky Southwest, LLC dba Blazen Enterprises",4/1/2021,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
1764,Bronco Billy's Bucking Bulls,9/13/2020,Certain Underwriters at Lloyd's of London (Beazley lead),"Zodiac Insurance Services, LLC"
559,Brookfield Property REIT Inc.,9/1/2020,Liberty Mutual Fire Insurance Company,LOCKTON COMPANIES
1809,Brushy Creek Municipal Utility District,10/1/2020,TMLIRP,TML
3113,BRX BCS Holdings LLC,4/1/2021,Everest National Insurance Co.,Anco Insurance
2852,Bubble Bounce,5/21/2021,Nationwide Mutual Insurance Agency,Cossio Insurance Agency
1806,Bubb's Bull Rides/Sharp Concepts Inc,2/19/2021,THE Insurance Company,Allied Specialty Insurance Inc
3668,"Buck Wild Mechanical Bulls, LLC",12/12/2020,Certain Underwriters at Lloyd's of London,"Zodiac Insurance Services, LLC."
3536,Buda Bounce House Party Rentals LLC,1/15/2021,Cincinnati Specialty Underwriters Ins Co,Oliver-VanDyk Insurance Agency
3696,Bullseye Party Rentals HTX LLC,2/15/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1588,Bungy Fun Zone,12/31/2020,Nationwide Mutual Insurance Company Agency,Cossio Insurance Agency
53,"Burchfield Ministries International, Inc.",10/25/2020,United States Fire Insurance,McGowan Companies
571,BW Amusement dba Bob-O's Family Fun Center,12/30/2020,Houston Casualty Company,McGowan & Company
3641,"C.D.A.C., Inc",5/1/2021,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc."
38,Cajun Rides Inc,2/1/2021,ACE American Insurance Company (Chubb),Haas & Wilkerson Insurance
1448,Camelback Hotel Corp,6/1/2021,Travelers Property Casualty Insurance Company,Farmer Woods Group
1912,Camp Champions TX LLC,5/1/2021,Markel Ins Co,Hibbs-Hallmark & Co.
3162,"Camp Eagle, Inc.",3/1/2021,National Cas Co,Hibbs- Hallmark & Co
2388,Camp La Junta,5/25/2021,National Cas Co,Hibbs - Hallmark & Co
2141,"Camp Longhorn, LTD",12/31/2020,National Cas Co,Hibbs - Hallmark & Co
2140,Camp Olympia Adventure Experiences Inc,9/1/2020,National Cas Co,Hibbs - Hallmark & Co
2140,Camp Olympia Inc.,9/1/2020,National Cas Co,Hibbs-Hallmark & Co
1863,"Camp Rio Vista, Inc.
dba Vista Camps",10/1/2020,Church Mutual Insurance Company,"Marsh Wortham, a division of Marsh USA, Inc."
123,"Carnival Americana, Inc.",2/15/2021,T.H.E. Insurance Company,Kaliff Insurance
1924,Carolina Creek Christian Camp,2/17/2021,National Casualty Company,Hibbs-Hallmark & Co
504,"CEC Enterprises, Inc, DBA: Sock-Hop.com & Inflatable Wonderland",6/16/2021,The Cincinnati Specialty Underwriters Insurance Company,Assured Partners of Minnesota LLC
734,"Cedar Fair dba Schiletterbahn, Galveston, Texas",10/31/2020,Ace American Insurance Company,Mersh USA Inc
3077,Celebration Party Center LLC,11/28/2020,Evanston Insurance Company,"Hotchkiss Insurance Agency, LLC"
3077,"CELEBRATION PARTY CENTER, LLC",11/28/2020,Evanston Insurance Company,"Hotchkiss Insurance Agency, LLC"
65,"Celebration Station Properties, INC.",9/1/2020,T.H.E. Insurance Company,Pampalone Insurance Agency INC
2523,"Center for Christian Growth, Inc.",11/1/2020,National Cas Co,Hibbs-Hallmark & Co
2557,Charlie Cantu dba Can Do Events And Amusements,9/16/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1573,Chase Oaks Church,10/1/2020,American Alternative Insurance Corporation,Glatfelter Underwriting Services
2467,"Cho-Yeh Camp & Conference Center, Inc.",12/31/2020,National Cas Co,Hibbs - Hallmark & Co
668,CHRISTIAN HOUSE OF PRAYER AND THE REFUGE CORPO RATI ON,5/1/2021,CHURCH MUTUAL INSURANCE COMPANY,CHURCH MUTUAL INSURANCE COMPANY
3729,"Cinergy Entertainment Group, Inc.",6/1/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
3629,City of Alice,10/1/2020,Texas Municipal League Intergovernmental Risk Pool (TMLIRP),TML
642,City of Allen,10/1/2020,TML,TML
1289,City of Baytown,10/1/2020,TML,TML
1289,City of Baytown,10/1/2020,TMLIRP,TML
3458,City of Bellaire,10/1/2020,TML,TML
3446,City of Brenham,10/1/2020,TML,TML
3004,City of Brownwood,10/1/2020,TMLIRP,TML
405,City of Bryan,10/1/2020,Allied World Assurance Company (U.S.) Inc,"MCGRIFF, SEIBELS & WILLIAMS OF TEXAS, INC"
3160,City of Canyon,10/1/2020,TMLIRP,TML
1024,City of Carrollton,10/1/2020,TMLIRP,TML
3091,City of Cedar Park,10/1/2020,TMLIRP,TML
703,City of Cleburne,10/1/2020,TMLIRP,TML
69,City of College Station,10/1/2020,Allied World Insurance Company,"McGriff, Seibels & Williams of Texas, Inc."
3371,City of Conroe,10/1/2020,TMLIRP,TML
3411,City of Coppell,10/1/2020,TML,TML
3669,City of Del Rio,10/1/2020,TMLIRP,TML
3473,City of El Campo,10/1/2020,Texas Association of Political Subdivisions,"Harding-Conley-Drawert Tinch Ins. Agency, Inc."
839,City of Farmers Branch,10/1/2020,TMLIRP,TML
845,City of Frisco,10/1/2020,TMLIRP,TML
522,City of Gainesville,10/1/2020,TML,TML
3526,City of Grand Prairie,10/1/2020,TML,TML
2589,City of Grapevine,10/1/2020,The Travelers Indemnity Company,"Fort Worth, TX-Hub International Ins. Services"
2589,City of Grapevine,10/1/2020,Travelers Casualty Insurance Company of America,"Fort Worth, TX-Hub International Ins Serv"
3483,City of Hearne,10/1/2020,TML Intergovernmental Risk Pool,TML Intergovernmental Risk Pool
523,City of Hurst,10/1/2020,TMLIRP,TML
1808,City of Irving,10/1/2020,Colony Insurance Company,"MCGRIFF, SEIBELS & WILLIAMS OF TEXAS, INC."
814,City of Keller,10/1/2020,TMLIRP,TML
1090,City of Killeen,10/1/2020,TMLIRP,TML
742,City of Kyle,10/1/2020,TMLIRP,TML
2245,City of Lake Jackson,10/1/2020,TMLIRP,TML
3457,City of Lakeway,10/1/2020,TMLIRP,TML
3415,City of Laredo,10/1/2020,TMLIRP,TML
809,City of Lewisville,10/1/2020,TMLIRP,TML
2951,City of McKinney,10/1/2020,TML,TML
3609,City of Mesquite,10/1/2020,TML,TML
3576,City of Mineola,10/1/2020,TMLIRP,TML
3456,City of Mission,10/1/2020,TML,TML
3541,City of New Braunfels,10/1/2020,TMLIRP,TML
68,City of North Richland Hills,7/15/2021,Argonaut Insurance Company,"MCGRIFF, SEIBELS & WILLIAMS OF TEXAS, INC."
3410,City of Pflugerville,10/1/2020,TMLIRP,TML
453,City of Plano,10/1/2020,Texas Public Entity Group,Hays Companies of Utah
810,City of Round Rock - Athletic Aquatics,10/1/2020,TMLIRP,TML
894,City of Saginaw,10/1/2020,TMLIRP,TML
670,City of Seabrook,10/1/2020,TMLIRP,TML
3579,City of Southlake,10/1/2020,Texas Municipal League Intergovernmental Risk Pool (TMLIRP),TML
3462,City of Sunray,10/1/2020,TML,TML
1077,City of Temple,10/1/2020,TMLIRP,TML
3689,City of Terrell,10/1/2020,TMLIRP,TML
3670,City of Universal Park,10/1/2020,TMLIRP,TML
3440,City of Vernon,10/1/2020,TML,TML
3440,City of Vernon,10/1/2020,Texas Intergovernmental Risk Pool,TML
3718,City of West University,10/1/2020,TMLIRP,TML
2924,City of White Settlement,10/1/2020,TMLIRP,TML
701,City of Wichita Falls Castaway Cove Water Park,2/3/2021,Everest National Insurance Company,"Arthur J. Gallagher Risk Management Services, Inc."
3366,"CLH Investments, LLC DBA Freedom Party Rentals",3/1/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2075,"CLM Attractions dba
Twisted Amusements",1/17/2021,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
2211,Clown Around Party Rental-Essary Investments,8/21/2020,Underwriters at Lloyds London,"Boyd, Shackelford, Barnett & Dixon, LLC"
2728,"Club Operations, LLC dba Red River",11/4/2020,"Certain Underwriters at Lloyd's, London","Zodiac Insurance Services, Inc."
2613,CN Moonwalks,10/17/2020,Cincinnati Specialty Underwriters Insurance Company,Friedman Insurance
3666,Collazo Ventures,2/16/2021,National Casualty Company,"K&K Insurance Group, Inc"
2701,Collin Baptist Association,9/19/2020,Brotherhood Mutual,Guidestone Agency Services
3552,"Commonwealth Civic Association, Inc",8/1/2020,Central Mutual Insurance Co.,"Brady, Chapman, Holland & Associates, Inc."
2227,Confetti Party Hall,10/5/2020,Hallmark & Specialty Insurance Co.,Farmers Gloria Sanchez
1815,CooCoos Inc.,2/10/2021,Axis Surplus Ins,Haas & Wilkerson Ins.
373,"Cool Breeze Rentals, LLC
Billy Dillard dba",6/10/2021,Certain Underwriters @ Lloyds,"Higginbotham Insurance Agency, Inc."
70,Crabtree Amusements Inc,5/1/2021,Everest National Insurance Company,"Johnson, Kendall & Johnson, Inc."
2153,"Creative Camping Services, LLC dba Lonehollow",3/1/2021,National Cas Co,Hbs-HaHrnark & Co
930,"CTE Entertainment, LP",12/5/2020,HDI Global Specialty SE,Dexter & Company
2089,"CWM Independent Rides, LLC",1/13/2021,Everest National Insurance Company,"Johnson, Kendall & Johnson, Inc."
850,D&C Pride of Texas Shows Inc,2/15/2021,ACE American Insurance Company,Haas & Wilkerson Insurance
1173,Dallas Baptist Association,4/15/2021,Brotherhood Mutual,Guidestone Agency Services
462,Dallas Zoo Management Inc; Dallas Zoological Society,10/1/2020,National Cas Co,Holmes Murphy & Associates
329,"David Schoenvogel, DBA: Landa Park RR",8/14/2020,Northfield Insurance Company,Apple Insurance Specialists
1231,Dawn and J Manuel Palomares dba Joe's Jumps,10/1/2020,Cincinnati Specialty Underwriters Insurance Company,"Friedman Insurance, Inc."
2540,Dean and Flynn Inc dba Fiesta Shows Inc.,2/15/2021,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc"
2922,Denton Baptist Association,9/1/2020,Brotherhood Mutual,Guidestone Agency Services
1988,Dewberry Farm LLC,9/13/2020,T.H.E. Insurance Company,Kaliff Insurance
1255,DFW Entertainment LLC dba Wild Wild Bounce,5/1/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1894,DFW Party Rental LLC,2/7/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2708,Donald Washington dba Party Time Anytime Moonwalks,12/7/2020,Nationwide Mutual Insurance Company,Southwest Commercial Insurance Agency LLC
2708,Donald Washington dba Party Time Anytime Moonwalks,12/7/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1911,"Doublecreek Farm, Inc",6/1/2021,National Cas Co,Hibbs - Hallmark & Co
1593,E.L Bunch LLC dba Inflatable Fun Rentals,8/19/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1147,Eagles Wings Inflatables LLC,6/13/2021,Cincinnati Specialty,Friedman Insurance Inc
2313,East Paris Baptist Church,8/1/2020,Guide One Insurance,Pierson & Fendley
1703,East Texas Baptist Encampment,12/12/2020,National Casualty Company,BXS Insurance
2350,Edgar Martinez and Alejandro Morales dba Fiesta Mexicana,10/13/2020,Cincinnati  Specialty Underwriters Insurance Company,Friedman Insurance Inc
2350,"Edgar Martinez and Alejandro Morales
dba Fiesta Mexicana",10/13/2020,Cincinnati Specialty Underwriters Insurance Compan,"Friedman Insurance, Inc."
1234,Elizabeth Lerma dba Kidz Ultimate Party Zone,11/13/2020,National Fire & Marine Insurance Company,Cossio Insurance Agency
88,"Ellen's Amusement Center, Inc.",7/9/2021,T.H.E. Insurance Company,"McGowan Allied Specialty
Insurance"
521,"Enterprize Management, Inc.
dba Beach Park at Isla Blanca",4/23/2021,Everest National Insurance Company,"SWBC Insurance Services, Inc."
3515,Entertainment Haus LLC,12/11/2020,Nationwide Mutual Ins Co,Cossio Insurance Agency
3183,"Entertainment Properties Group, Inc",6/30/2021,Twin City Fire Insurance Company,"McGriff, Seibels & Williams of Texas, Inc."
2496,"Entertainment Properties Group, Inc",6/30/2021,Twin City Fire Insurance Company,"MCGRIFF, SEIBELS & WILLIAMS OF TEXAS, INC."
1539,"Entertainment Properties Group, Inc",6/30/2021,Twin City Fire Insurance Company,"MCGRIFF, SEIBELS & WILLIAMS OF TEXAS, INC."
3691,"Entertainment Properties Group, Inc",6/30/2021,Twin City Fire Insurance Company,"MCGRIFF, SEIBELS & WILLIAMS OF TEXAS, INC."
1209,Essary Investments LLC dba Jump N Land,8/21/2020,Underwriters at Lloyds London,"Boyd, Shackelford, Barnett & Dixon, LLC"
1211,Express Kids Train,10/5/2020,United States Fire Insurance Company,Kaliff Insurance
