Record,Name of Operation,Expiration Date,Agent,Carrier
95,"North American Midway Entertainment- Astro Amusement, LLC",12/20/2020,Everest Indemnity Insurance Company,New York-Alliant Ins Svc Inc
755,"North Texas District Council
DBA: Lakeview Camp and Conference Center",9/1/2020,Church Mutual Insurance Company,"Insurance One Agency, L.C."
3508,Northwest Houston Urban Air Inc,10/19/2020,Golden Bear Insurance Company,Hotchkiss Insurance Agency LLC
3472,"Nutrient Dense Farm, LLC dba Sweet Eats Fruit Farm",4/13/2021,The Cincinnati Specialty Underwriters Insurance Company,Insurance Office of America
3508,NW Houston Urban Air Inc.,10/19/2020,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
212,Orange Lions Club Charity,8/29/2020,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc"
3012,Orbit Moonwalks & Party Rentals,1/31/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3489,"Orion's Hospitality, LLC dba  Urban Air Adventure Park",10/16/2020,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
2827,"Outlaw Pass, LLC",3/1/2021,T.H.E Insurance company,Allied specialty insurance Inc
228,Outrageous Adventures-Texas Inc,8/20/2020,The Cincinnati Specialty Insurance Company,Assured Partners of Minnesota LLC
844,P & A Enterprises LLC dba Bounce For Fun,12/6/2020,NATIONWIDE MUTUAL INS CO,Cossio Insurance Agency
3244,"P-6 Cattle Co, Inc.",9/30/2020,Mesa Underwriters,"Donat Insurance Services, LLC"
3304,Palo Duro Adventure Park,5/19/2021,Certain Underwriters at Lloyd's of London,"Zodiac Insurance Services, LLC."
3601,"Panhandle Baseball Club, Inc. dba Amarillo Sod Poodles",3/21/2021,National Casualty Company,"Fairly Consulting Group, LLC"
2736,Paris Inflatables LLC,1/4/2021,Nationwide Mutual Insurance Co.,Cossio Insurance Agency
2736,"Paris Inflatables, LLC",1/4/2021,Nationwide Mutual Insurance Company,Cassio Insurance Agency
597,"Parks at Arlington Mall General Growth (Ggp/homart, Inc.)",9/1/2020,Liberty Mutual Fire Insurance Company,Lockton Companies
2585,Parson's Barefoot Ski Ranch,8/15/2020,HDI Global Specialty SE,Insurance Office of America
3422,"Party Point, LLC",9/13/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3603,Party Ready Rentals LLC,5/8/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3509,"Pasadena Urban Air, LLC",5/27/2021,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
1697,Pay It Forward Fundraising,12/4/2020,Nationwide Mutual Insurance Co,Cossio Insurance Agency
1942,Performance Party Rents LLC,10/15/2020,AXIS Insurance Company,"ARA Insurance Services, Inc."
1942,Performance Party Rents LLC`,10/15/2020,AXIS Insurance Company,"ARA Insurance Services, Inc"
565,"Phillips Entertainment, Inc.",3/20/2021,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc"
3322,Pinata World Baytown,11/21/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3183,Pinstack 2 LLC,6/30/2021,Twin City Fire Insurance Company,"McGriff, Seibels & Williams of Texas, Inc."
3273,Pinstack 3 LLC Entertainment Properties Group Inc. dba,6/30/2021,Twin City Fire Insurance Company,"McGriff, Seibels & Williams of Texas, Inc."
3691,Pinstack 5 LLC,6/30/2021,Twin City Fire Insurance Company,"McGriff, Seibels & Williams of Texas, Inc."
906,PIU - San Antonio/Ft Worth - NW Aleocol LLC,8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
2202,"PIU Central, LLC",10/27/2020,Atain Specialty Insurance Co.,Southwest Commercial Insurance Agency LLC
938,"PIU-San Antonio, et al-- Alecol LLC",8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
946,PIU-San Antonio/Ft. Worth-- NW Alecol LLC,8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
948,PIU-San Antonio/Ft. Worth-- NW Alecol LLC,8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
3318,PIU-San Antonio/Ft. Worth-- NW Alecol LLC,8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
936,PIU-So Dallas County-Entertainthem LLC,8/21/2020,Philadelphia Indemnity Insurance Co,J Philip Chubb Insurance Agency
936,PIU-South Dallas County Entertainthom LLC,8/21/2020,Philadelphia Indemnity Insurance Company,J Phillip Chubb Insurance Agency
466,Pizza Properties,2/1/2021,Lexington Insurance Company,Hub International Insurance Services
730,Pizza Properties Inc,2/1/2021,Lexington Insurance Company,Hub International Insurance Services
469,"Pizza Properties, Inc.",2/1/2021,Lexington Insurance Company,Hub International Insurance Services
644,"Pizza Properties, Inc.",2/1/2021,Lexington Insurance Company,Hub International Insurance Services
672,"Pizza Properties, Inc.",2/1/2021,Lexington Insurance Company,Hub International Insurance Services
1572,Plano Bible Church,1/15/2021,GuideOne Specialty Mutual Insurance Co,"Patterson & Associates Insurance Agency, Inc."
1897,Pleasure Pier Willie G's Post Oak Inc Fertitta Entertainment Inc,7/24/2021,Endurance American Specialty,"Naughton Insurance, Inc."
222,Plex Entertainment LLC,6/26/2021,Arch Insurance Company,SafeparkUSA
920,Portable Adrenaline LLC,10/1/2020,Nationwide Mutual Insurance Co,Cossio Insurance Agency
920,Portable Adrenaline LLC,1/31/2021,Certain Underwriters at Lloyd's of London (Beazley lead),"Zodiac Insurance Services, LLC."
498,Presbyterian Mo-Ranch Assembly,9/23/2020,Southern Cross,Swain & Baldwin Insurance
223,Pride Amusements,4/5/2021,Ace American Insurance (Chubb),Haas & Wilkerson Insurance
826,Prime Pacific Entertainment LLC,9/19/2020,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
828,"Prime Time Family Entertainment Center, Inc.",9/15/2020,ACE American Insurance Company,Hass & Wilkerson Insurance
926,"Providence HOA, Inc",2/1/2021,Philadelphia Indemnity Insurance Co,Harris F Underwood III Inc
944,Pump It Up Dallas North (Frankford Rd),8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
2203,Pump It Up Fort Worth,8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
940,Pump It Up Frisco,10/27/2020,Tokio Marine Specialty,J Phillip Chubb
3318,Pump it Up San Antonio/Citibase Southeast,8/21/2020,Tokio Marine Specialty,J Philip Chubb Insurance Agency
32,"Putt-Putt Golf & Games, ETAL",6/3/2021,Arch Insurance Company,"Higginbotham Insurance Agency, Inc."
605,Rain Forest Café,7/24/2021,Endurance American Specialty,"Naughton Insurance, Inc."
2958,RANDY VOIGHT AND JONATHAN VOIGHT,11/30/2020,United States Fire Insurance Company,"Dexter & Company of Central Texas, Inc."
55,Ray Cammack shows inc,12/20/2020,T.H.E Insurance company,Kaliff Insurance
232,"RDM Independent Rides, LLC Moore's Greater Shows",1/13/2021,Everest National Insurance Company,"Johnson, Kendall & Johnson, Inc."
234,"RECOIL, INC.
DBA GRAVITY PARK",2/10/2021,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc."
1470,"Red Hat Rentals
SBA Enterprises LLC, JF Pinnacle Enterprises",2/20/2021,AXIS Insurance Company,"ARA Insurance Services, Inc."
1362,RED RIVER BEVERAGE COMPANY DBA COWBOY'S LTD - FAR WEST,11/4/2020,"Certain Underwriters at Lloyd's, London","Zodiac Insurance Services, Inc."
235,"Reed Exposition Midway, LLC",9/20/2020,Admiral Insurance Company,"Specialty Insurance, LTD"
2513,Reflections Of Christs Kingdom World Outreach International,10/10/2020,American Southern Insurance Co,"Pathfinder/LL&D Insurance Group, LLC"
3239,Reithoffer Shows Inc.,7/31/2020,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc"
1105,Rental World LLC dba Rental World,11/5/2020,Certain Underwriters @ Lloyds,Martin Insurance Partners LLC
3307,Rey's Moon Jump/Slide Rentals,9/12/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3116,RG Bouncers,8/9/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
838,Richard E Harris DBA Climb Mt Rushmore,8/16/2020,Lloyd's-Beazley Group Syndicate #2623,Amusement And Event Planners Insurance Specialists
3664,Richard Janesky dba Janesky Brothers,11/1/2020,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc."
307,Ring & Ring Inc. dba Wright's Amusements,4/2/2021,ACE American Insurance Company,Haas & Wilkerson Insurance
559,Rink Management Services Corporation,9/30/2020,Philadelphia Indemnity Insurance Company,"McGriff, Seibels & Williams of Georgina, Inc."
587,Rink Management Services Corporation,9/30/2020,Philadelphia Indemnity Insurance Company,"MCGRIFF, SEIBELS & WILLIAMS, INC."
685,"River City Attractions, Inc.",8/29/2020,T.H.E. Insurance Company,Kaliff Insurance
1150,River Hills Baptist Church,5/2/2021,Church Mutual Insurance Company,Church Mutual Insurance Company
1150,River Hills Baptist Church,5/1/2021,Church Mutual Insurance Company,Church Mutual Insurance Company
2617,"Riverbend Retreat Center, Inc",9/1/2020,National Cas Co,Hibbs - Hallmark & Co
127,Robert Cory dba Heart of America Shows,4/15/2021,ACE American Insurance Company,HAAS & WILKERSON INC.
1005,Rock Tha House Moonwalks LLC,8/1/2020,Nationwide Mutual Ins Co,Cossio Insurance Agency
1005,"Rock Tha House Moonwalks, LLC",8/1/2020,Nationwide Mutual Insurance,Cossio Insurance Agency
1626,Rockets Inflatables,6/1/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
239,Rockwood Go Karts,9/11/2020,United States Fire Insurance,JBL TRINITY GROUP LTD
3559,Rodeo Mechanical Bull,2/28/2021,Certain Underwriters at Lloyd's of London (Beazley lead),"Zodiac Insurance Services, Inc."
1611,Rosalinda Ochoa dba G & A Martinez Party Rental,8/13/2020,Cincinnati Specialty Underwriters Insurance Compan,"Friedman Insurance, Inc."
575,"Rounds Of Fun, LTD dba Zone Action Park,JMATS Inc.",2/1/2021,CERTAIN UNDERWRITERS AT LLOYDS,Northeast Insurance Center
2620,SAN ANTONIO AQUARIUM,2/8/2021,Evanston Insurance Company,Heritage General Insurance
3168,"San Antonio Baseball Club, Inc.
dba San Antonio Missions Baseball Club, Inc.",3/31/2021,National Casualty Company,"Fairly Consulting Group, LLC"
774,San Antonio's Incredible Pizza Co,7/1/2021,Everest National Insurance Company,USI Insurance Services LLC
2842,"Santa Rita Master Community, Inc.",11/14/2020,Philadelphia Insurance Company,"Higginbotham Insurance Agency, Inc"
2606,Santiago's Moonwalk Rentals,2/4/2021,Nationwide Mutual Ins Co,Cossio Insurance Agency
2981,Saul & Andzelika De Leon dba De Leon's Party & Event Rentals,8/1/2020,Cincinnati Specialty Underwriters Insurance Compan,"Friedman Insurance, Inc."
1021,Savannah Homeowners Association,2/1/2021,Philadelphia Indemnity Insurance Co,Harris F Underwood III Inc
208,"Saxe, Inc. dba Putt-Putt FunHouse",11/13/2020,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
248,"Sea World of Texas, LLC dba SeaWorld San Antonio",1/1/2021,ACE American Insurance Company,"Aon Risk Services Northeast, Inc."
2659,Semones Family YMCA fka Town North YMCA,11/1/2020,Great American Insurance Co of NY,MHBT a Marsh & McLennan Agency LLC
1007,"Serving Him, LP. dba Rental Stop",3/15/2021,Hartford Fire Insurance Company,Alliant Insurance Services Inc
3698,SetX Party Rentals LLC,2/12/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2920,"Shawn and Rita Odom dba Angelo Inflatables
dba  Angelo Inflatables",12/3/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1169,"Shehzad Hussain dba Euro Entertainment
dba Euro Entertainment",3/16/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1452,Sienna Plantation Residential Assoc Inc,5/20/2021,Central Mutual Insurance Co.,"Brady, Chapman, Holland & Associates Inc."
1454,Silverleaf Resorts Inc The WaterPark @ The Villages,1/1/2021,The Charter Oak Fire Insurance Company,Kemmons Wilson Ins Group LLC
253,Six Flags Entertainment Corporation,1/1/2021,Hartford Fire Insurance Compan,"Alliant Insurance Services, Inc."
99,Six Flags Fiesta Texas,1/1/2021,Hartford Fire Insurance Company,"Alliant Insurance Services, Inc."
99,Six Flags Fiesta Texas,1/1/2021,Hartford Fire Insurance Compan,"Alliant Insurance Services, Inc."
300,Six Flags Over Texas/Hurricane Harbor,1/1/2021,Hartford Fire Insurance Company,"Alliant Insurance Services, Inc."
261,"Six Flags Splashtown, LLC",1/1/2021,Hartford Fire Insurance Company,"Alliant Insurance Services, Inc."
1026,Sky High Party Rentals LLC,2/22/2021,Lloyd's-Beazley Group Syndicate #2623,Amusement And Event Planners Ins. Spec.
1881,"Sky Ranches, Inc.",9/1/2020,National Casualty Co.,K&K Insurance Group Inc
37,"Sky Spectacle, Inc.",1/29/2021,T.H.E. Insurance Company,Kaliff Insurance
2032,"SkyGroup Investments, LLC",1/1/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
2236,"SkyGroup Investments, LLC",1/1/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
2927,"SkyGroup Investments, LLC",1/1/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc"
2785,"SkyGroup Investments, LLC",1/1/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
2490,"SkyGroup Investments, LLC-iFly Houston",1/1/2021,Arch Insurance Company,"American Specialty Insurance & Risk Services, Inc."
3721,Skylark Camps,5/15/2021,Church Mutual Ins. Co.,Hibbs - Hallmark & Co
825,Skyway Transportation Inc.,9/14/2020,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
1807,"SLBM, LLC; SL Baseball, LLC dba Sugar Land Skeeters",10/31/2020,Arch Insurance Company,"American Specialty Ins & Risk Services, Inc."
3479,Smith's Party & Event Planner dba Bouncingforfun,9/1/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3639,"Smithson Valley Party Rentals, LLC",8/13/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3640,So Excited Party Rentals,8/2/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3525,SONIA SANCHEZ dba PARTY PALACE,11/14/2020,United Specialty Insurance,Houston and Lisa Copeland Insurance Agency
3525,"SONIA SANCHEZ, DBA: PARTY PALACE",11/14/2020,UNITED SPECIALTY INS CO,Houston and Lisa Copeland Insurance Agency
3069,Southern Bounce,8/28/2020,Nationwide Mutual Insurance,Cossio Insurance Agency
2275,Southern Cross - Morning Star Productions,12/14/2020,National Cas Co.,Hibbs - Hallmark Co.
1300,Space Jump Rentals dba Valvic Inc,10/19/2020,Certain Underwriters at Lloyds,"Liberty United Insurance Services, Inc"
8,Speedy's Amusements Inc dba Go Kart Raceway,1/17/2021,T.H.E. Insurance Company,Allied Specialty Insurance Inc
588,Splashway Water Park,12/1/2020,T.H.E. Insurance Compan,McGowan Allied Specialty Insurance
3349,Spohn & Associates dba Pinballz Lake Creek,12/10/2020,Admiral Insurance Company,Cossio Insurance Agency
3393,Spohn & Associates Inc,9/1/2020,National Casualty Company,West Coast Insurance Group
3349,Spohn & Associates Inc dba Pinballz Lake Creek,9/1/2020,National Casualty Company,K&K Insurance Group Inc
1136,"Sports, Outdoor and Recreation",8/19/2020,Arch Insurance Canada Ltd.,"Arthur J. Gallagher Risk Management Services, Inc."
3403,"Springfield Events, LLC",6/13/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1657,Spyder Jump of Laredo LLC,11/1/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
536,Starwalk of Dallas LLC,6/8/2021,Cincinnati Specialty Underwriters Insurance Company,"Friedman Insurance, Inc."
735,"State Fair Spectaculars, LLC",1/22/2021,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
3635,Stellar Entertainment group dba Garden Brothers Circus,12/22/2020,Certain Underwriters @Lloyds of London,"Specialty Insurance, LTD."
619,Stonebriar,9/1/2020,Liberty Mutual Fire Insurance Companies,Lockton Companies
619,Stonebriar Center Mall,9/1/2020,Liberty Mutual Fire Insurance Company,Lockton Companies
3730,Stoney Creek Foundation,1/12/2021,National Cas Co,Hibbs - Hallmark & Co
2092,"Sugar Rides, Inc",2/18/2021,United States Fire Insurance Company,Kaliff Insurance
714,Summer Fun Water Park,4/2/2021,THE Insurance Company,Miller & Co Ins Agency
874,Summit Christian Center,4/7/2021,Brotherhood Mutual Insurance,American Church Group of Texas
3370,"Sun Communities, Inc dba Kerrville Camp-Resort, LLC",11/29/2020,Lexington Insurance Company,Beecher Carlson Insurance Services
3381,"Sun Communities, Inc Hill  Country Resorts, LLC",11/29/2020,Lexington Insurance Company,Beecher Carlson Insurance Services
2637,Superjumps LLC,10/24/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
260,"Surf San Antonio, DBA: Splashtown of San Antonio",3/19/2021,Everest Indemnity Insurance Company,"SWBC Insurance Services, Inc."
1810,Sweet Berry Farm LLC,3/21/2021,Mesa Underwriters,Donat Insurance Services LLC
452,T & D Concessions,8/10/2020,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc."
362,Talley Amusements,1/22/2021,Ace American Insurance Company,Haas & Wilkerson Insurance
2505,Tate MacGregor dba MacGregor Entertainment,2/1/2021,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
2948,Tejas Ministries Inc dba Camp Tejas,8/1/2020,National Cas Co,Hibbs-Hallmark & Co
3726,Texas Bounce Pros,6/5/2021,Cincinnati Specialty Underwriters Ins Co,Olivier-VanDyk Insurance Agency
3714,"Texas Bounce World, LLC",4/4/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2170,Texas City,10/1/2020,TMLIRP,TML
1212,"Texas Jumps, Inc.",1/1/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
2169,"Texas Kids Dental Care, PA",5/28/2021,Evanston Insurance Company,Cossio Insurance Agency
2219,"Texas Skatium, Inc.",1/28/2021,National Casualty Company,"JBL Trinity Group, Ltd"
710,Texas Southern Enterprises LP dba Conroe's Incredible Pizza,8/1/2020,ACE American Insurance Company,Haas & Wilkerson Insurance
710,Texas Southern Enterprises LP dba Conroe's Incredible Pizza,8/1/2020,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
569,The Big Queso Ltd,2/22/2021,Admiral Insurance Company,"Arthur J. Gallagher Risk Management Services, Inc."
3459,"The Family Playhouse LLC, DBA: Carousel, The Family Playhouse",9/1/2020,Colony Insurance Company,"Agents Alliance Services, Ltd"
1449,The Howard Hughes Corporation,4/1/2021,Liberty Mutual Fire Insurance Company,Lockton Companies
2582,The Human Claw,11/15/2020,Cincinnati Specialty Underwriters Insurance Compan,"Friedman Insurance, Inc."
2144,The Inflatable Zoo Inc DBA Space Walk NE Houston,5/15/2021,Lexington Insurance Company,"Eagan Insurance Agency, LLC"
3469,The Mentoring Alliance,4/28/2021,AmGUARD Insurance Company,Hibbs - Hallmark & Co
2408,The Pines Education Group dba The Pines Catholic Camp,9/30/2020,National Cas Co,Hibb-Hallmark & Co
1072,The Reserve at Westridge Association,5/1/2021,Philadelphia Indemnity Insurance Company,"Aon Risk Services Central, Inc"
3613,The Rush Fun Park,2/1/2021,Cincinnati Specialty Underwriters Insurance Company,Breinholt & Associates Insurance Consultants LLC
2175,The Train Event Klint Bush,8/18/2020,Evanston Insurance Company,Sparks Insurance- TWFG
280,Thomas Carnival Inc,1/29/2021,T.H.E. Insurance Company,Allied Specialty Insurance
280,Thomas Carnival Inc.,1/29/2021,T.H.E. Insurance Co.,Allied Specialty Insurance Inc
3246,Time to Spare LLC,5/3/2021,Everest National Ins. (R-T Specialty),"Brady, Chapman, Holland & Associates"
2053,TKA Bounce N Play,6/1/2021,MESA UNDERWRITERS SPECIALTY INS CO,Landry Insurance Agency
1485,"TLD Holdings, LLC dba Texas Entertainment
Group",10/10/2020,Certain Underwriters at Lloyds,"Boyd, Shackelford & Barnett, LLC"
892,TNT Entertainment,3/4/2021,United States Fire Insurance,FL DEAN JAMIE EATMON
863,Tobias-Sky Entertainment Inc.,4/1/2021,ACE American Insurance Company,Haas & Wilkerson Insurance
2376,Tony Ybarra dba A&B Jumping,8/17/2020,Cincinnati Specialty Underwriters Insurance Compan,"Friedman Insurance, Inc."
749,Tower of the Americas,7/24/2021,Endurance American Specialty,"Naughton Insurance, Inc."
891,Town of Flower Mound,10/10/2020,TML,TML
891,Town of Flower Mound Community Activity Center,10/1/2020,TML Intergovernmental Risk Pool,TML Intergovernmental Risk Pool
2616,"Towne Lake Community Association, Inc.",9/10/2020,ACE American Insurance Company,"Higginbotham Insurance Agency, Inc."
286,"Traders Village, Ltd Grand Prairie",9/30/2020,Ace American Ins Co (Chubb),Haas & Wilkerson Insurance
465,"Traders Village, Ltd Houston",9/30/2020,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
1379,"Traders Village, Ltd San Antonio",9/30/2020,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
3430,"Tyler Jump, LLC DBA Urban Air Adventure Park",9/7/2020,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
2373,"Typhoon Waterpark Management, LLC",5/17/2021,Everest Indemnity Insurance Company,Hass & Wilkerson Insurance
1042,"U Can Do It Rental & Sales, LLC",7/28/2021,AXIS Insurance Company,"ARA Insurance Services, Inc."
3518,"UA 1604, LLC dba Urban Air San Antonio (Bandera)",1/28/2021,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
3598,UASUA LLC dba Urban Air Southlake,12/17/2020,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
3487,Urban Air Adventure Park Laredo dba Jump Around Trampoline Park LLC,5/27/2021,HDI Global Insurance Company,"Hotchkiss Insurance Agency, LLC"
3699,"Urban Air Waxahachie, LLC",9/2/2020,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
1020,"USA Amusements, Inc.",10/1/2020,T.H.E. Insurance Company,"Allied Specialty Insurance, Inc"
3715,Venture Racing LLC,5/8/2021,NATIONAL CASUALTY COMPANY,"K & K Insurance Group, Inc."
291,Waco Lions Park Trust,5/1/2021,T.H.E. Insurance Company,Kaliff Insurance
3528,"Waco Trampoline Park, LLC",1/8/2021,Golden Bear Insurance Company,"Hotchkiss Insurance Agency, LLC"
292,"Wagners Carnival, LLC",4/2/2021,Everest National Insurance Company,"Johnson, Kendall & Johnson, Inc."
1615,Waldemar Partners Inc.,3/1/2021,National Cas Co,Hibbs - Hallmark & Co
3693,"Waterside Estates Community Association, Inc. c/o Crest Management Company, Inc.",8/1/2020,Central Mutual Insurance Co.,"Brady, Chapman, Holland & Associates, Inc."
2547,Waterview Community Association Inc.,1/1/2021,Philadelphia Indemnity Insurance Co.,INSURICA - Oklahoma City
3671,Wellgren Inc dba Wellgren Inc,11/27/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3737,West Texas Inflatables LLC,7/16/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
3378,Westco Rental LLC,10/5/2020,Arch Insurance Company,Insurica DFB Insurance Services LLC
1018,Westwood Entertainment LP dba Horseshoe Junction Family Fun Park,11/27/2020,Arch Insurance Company,American Specialty Insurance & Risk Services Inc
3686,Wheelers Jump n Play LLC,8/27/2020,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1192,Wiggle Waggle Kidz Express,10/17/2020,Western World Ins. Co,Germer Insurance Services
237,"William & Renee Ritter dba
Fun Time Ride Rentals",4/1/2021,ACE American Insurance Company (CHUBB),Haas & Wilkerson Insurance
2781,Willie Ervin dba Party Time Rentals,3/1/2021,Nationwide Mutual Insurance Company,Cossio Insurance Agency
1708,Wimberley Zipline Adventures,11/1/2020,National Cas Co,Hibbs-Hallmark & Co
1223,Wonderild / Fortunella LLC,9/25/2020,Tokio Marine Specialty,J Phillip Chubb Insurance Agency
305,Wonderland Amusement Park,2/1/2021,Lloyds,"Insurance Office of America, Inc"
2577,Woodlands Party Rental Inc,10/27/2020,Certain Underwriters at Lloyds,SIG/Pruner Insurance Services
3341,XD Ride Co. - MM Ride LP,8/16/2020,Philadelphia Ind Ins Co,"Insgroup, Inc."
3644,Yee Haw Bouncers,8/4/2020,Berkley Life & Health Insurance Company,Cossio Insurance Agency
878,"Yesterland Farm LLC,",4/15/2021,T.H.E. Insurance Company,Kaliff Insurance
2343,YMCA of Greater San Antonio Camp,12/1/2020,Great American Insurance Company,"MHBT, a Marsh & McLennan Agency LLC Company"
2124,YMCA of Greater Williamson County,12/31/2020,GREAT AMERICAN INSURANCE CO,Program Insurance Group / 4D Ins
2623,YMCA of Metropolitan Dallas - Grand Prairie,11/1/2020,Texas Mutual Insurance Company,"MHBT, a Marsh & McLennan Agency, LLC company"
,,,,
